id,name,cuisine,address,phone
accra-bronx,Accra,West African,"2041 Davidson Ave, Bronx, NY 10453",(718) 584-8500
adulis-houston,Adulis,Eritrean,"5800 Bellaire Blvd #102, Houston, TX 77081",(346) 571-0966
african-village-ethiopian-restaurant-san-antonio,African Village Ethiopian restaurant,Ethiopian,"10918 Wurzbach Rd #131, San Antonio, TX 78230",(210) 467-5102
afro-caribbean-grill,Afro Caribbean Grill,African,"1903 Blodgett St, Houston, TX 77004",+1 713-804-2764
afrospice-bistro-bronx,AfroSpice BisTro,African,"549 Commonwealth Ave, Bronx, NY 10473",(718) 535-8686
all-african-cuisines-santa-ana,All African Cuisines,African,"325 N Tustin Ave, Santa Ana, CA 92705",(949) 556-6748
hou-sta-005,Amala Zone,Nigerian / Grill,"14815 Westheimer Rd, Houston, TX 77082",(281) 741-2661
amaye-international-restaurant-portland,AMAYE International Restaurant,African,"8000 NE Glisan St, Portland, OR 97213",(503) 252-0264
ayomee-s-african-kitchen-sicklerville,Ayomee’s African Kitchen,African,"6 Pittman Pl, Sicklerville, NJ 08081",(561) 612-9876
bliss-africa-davie,Bliss Africa,African,"6305 Stirling Rd, Davie, FL 33314",(954) 316-8618
cafe-de-vivre-houston,Cafe De Vivre,West African,"14165 Bissonnet St Suite P, Houston, TX 77083",(832) 665-7757
hou-sta-007,Chef Benny,Nigerian / Comfort Food,"10010 Bissonnet St, Houston, TX 77036",(832) 834-3127
d-salam-african-cuisine-new-york,D. Salam African Cuisine,West African,"89 Canal St, New York, NY 10002",(646) 879-4537
dammney-s-kitchen-morton-grove,Dammney’s Kitchen,West African,"9412 Waukegan Rd, Morton Grove, IL 60053",(224) 770-7071
dee-titolat-african-restaurant-houston,Dee Titolat African Restaurant,African,"11965 Bissonnet St STE 110, Houston, TX 77099",(281) 372-6173
delights-ghanaian-cuisine-houston,Delight's Ghanaian Cuisine,Ghanaian,"14524 Piping Rock Ln, Houston, TX 77077",(281) 995-1958
ewatomi-houston,Ewatomi,West African,"15000 Bellaire Blvd ste q, Houston, TX 77083",(346) 433-9338
fufudelight-suya-kitchen-arlington,Fufudelight& Suya Kitchen,West African,"6401 New York Ave # 149, Arlington, TX 76018",(817) 896-3372
grill-master-african-restaurant-houston,Grill master African Restaurant,African,"9755 S Kirkwood Rd D, Houston, TX 77099",(346) 491-5054
guinea-conakry-austin,Guinea Conakry,African,"318 E 5th St., Austin, TX 78701",
harar-ethiopian-restaurant-houston,Harar Ethiopian Restaurant,Ethiopian,"5506 Bellaire Blvd ste c, Houston, TX 77081",(713) 485-0378
hou-008,Helen's Kitchen,Jamaican,"14608 S Post Oak Rd, Houston, TX 77045",(713) 413-9022
international-delicious-kitchen-columbus,International Delicious Kitchen .,African,"5763 Karl Rd, Columbus, OH 43229",(614) 396-7795
island-style-east-cleveland,Island Style,Jamaican,"2144 Noble Rd, East Cleveland, OH 44112",(216) 851-4500
k-y-d-restaurant-mirage-brooklyn,Káyọ̀dé Restaurant Mirage,African,"563 E 26th St, Brooklyn, NY 11210",(347) 240-2710
kenna-houston,Kenna,Ethiopian,"6121 Hillcroft Ave c1, Houston, TX 77081",(346) 319-5845
kente-caf-salt-lake-city,Kente Café,African,"751 W 800 S, Salt Lake City, UT 84104",(385) 237-4642
oak-lala-eritrean,Lala's Eritrean,Eritrean,"4069 Telegraph Ave, Oakland, CA 94609",(510) 547-4520
le-bon-go-t-chez-fa-las-vegas,Le Bon Goût Chez Fa,West African,"3920 W Charleston Blvd # A, Las Vegas, NV 89102",(702) 722-2524
