id,name,cuisine,address,phone
intercontinental-african-nigerian-restaurant-columbus,🇳🇬🇳🇬Intercontinental African Nigerian Restaurant🇳🇬🇺🇸,Nigerian,"5777 Cleveland Ave, Columbus, OH 43231",(614) 259-3951
accra-bronx,Accra,West African,"2041 Davidson Ave, Bronx, NY 10453",(718) 584-8500
adulis-houston,Adulis,Eritrean,"5800 Bellaire Blvd #102, Houston, TX 77081",(346) 571-0966
african-village-ethiopian-restaurant-san-antonio,African Village Ethiopian restaurant,Ethiopian,"10918 Wurzbach Rd #131, San Antonio, TX 78230",(210) 467-5102
afro-caribbean-grill,Afro Caribbean Grill,African,"1903 Blodgett St, Houston, TX 77004",+1 713-804-2764
afro-pastries-indianapolis,Afro Pastries,African,"3840 Beaconsfield Ln, Indianapolis, IN 46228",(317) 986-3695
afroeatz-authentic-liberian-food-sacramento,AfroEatz - Authentic Liberian Food,West African,"1725 I St, Sacramento, CA 95811",(916) 633-2175
afrospice-bistro-bronx,AfroSpice BisTro,African,"549 Commonwealth Ave, Bronx, NY 10473",(718) 535-8686
afrotex-grill-bowls-burritos-suya-plates-san-antonio,"AfroTex Grill - BOWLS, BURRITOS & SUYA PLATES",West African,"6422 Babcock Rd Suit 101, San Antonio, TX 78249",(210) 800-2950
alice-fufulicious-maple-heights,Alice Fufulicious,African,"16631 Broadway Ave, Maple Heights, OH 44137",(216) 215-8461
all-african-cuisines-santa-ana,All African Cuisines,African,"325 N Tustin Ave, Santa Ana, CA 92705",(949) 556-6748
hou-sta-005,Amala Zone,Nigerian / Grill,"14815 Westheimer Rd, Houston, TX 77082",(281) 741-2661
oak-001,Amawele's,South African,"101 Spear St, San Francisco, CA 94105",(949) 243-2704
amaye-international-restaurant-portland,AMAYE International Restaurant,African,"8000 NE Glisan St, Portland, OR 97213",(503) 252-0264
authentic-liberian-cuisine-phoenix,Authentic Liberian Cuisine,African,"7017 N 19th Ave, Phoenix, AZ 85021",(602) 813-9025
ayobami-african-food-no-dine-in-catering-only-euclid,"Ayobami African Food (no dine-in, Catering only)",African,"404 Halle Dr, Euclid, OH 44132",
ayomee-s-african-kitchen-sicklerville,Ayomee’s African Kitchen,African,"6 Pittman Pl, Sicklerville, NJ 08081",(561) 612-9876
atl-daily-002,Belle & Lily's,Caribbean,"3350 Chamblee Tucker Rd, Atlanta, GA 30341",(404) 294-2900
black-star-grill-portland,Black Star Grill,West African,"110 NW 10th Ave, Portland, OR 97209",(503) 206-5993
bliss-africa-davie,Bliss Africa,African,"6305 Stirling Rd, Davie, FL 33314",(954) 316-8618
katy-004,Butter D' Roti,Trinidadian,"3710 Deepwind Bay Ct, Katy, TX 77493",(832) 437-0570
cafe-de-vivre-houston,Cafe De Vivre,West African,"14165 Bissonnet St Suite P, Houston, TX 77083",(832) 665-7757
hou-sta-007,Chef Benny,Nigerian / Comfort Food,"10010 Bissonnet St, Houston, TX 77036",(832) 834-3127
ch-pnbl-k-houston-1769474644390,ChòpnBlọk,West African,"507 Westheimer Rd, Houston, TX 77006",(832) 962-4500
choukouya-resto-bar-cleveland,Choukouya Resto-Bar,West African,"4620 Richmond Rd #292, Cleveland, OH 44128",(216) 245-6660
d-salam-african-cuisine-new-york,D. Salam African Cuisine,West African,"89 Canal St, New York, NY 10002",(646) 879-4537
dammney-s-kitchen-morton-grove,Dammney’s Kitchen,West African,"9412 Waukegan Rd, Morton Grove, IL 60053",(224) 770-7071
dee-titolat-african-restaurant-houston,Dee Titolat African Restaurant,African,"11965 Bissonnet St STE 110, Houston, TX 77099",(281) 372-6173
delights-ghanaian-cuisine-houston,Delight's Ghanaian Cuisine,Ghanaian,"14524 Piping Rock Ln, Houston, TX 77077",(281) 995-1958
d-nd-new-york,dùndú,African,"140 E 41st St, New York, NY 10017",(646) 767-0100
atx-fine-002,Ember Kitchen,Latin-Caribbean Fusion,"800 W Cesar Chavez St Ste PP110, Austin, TX 78701",(512) 540-5400
ethio-coffee-and-souk-houston,Ethio Coffee and Souk,African,"6580 Southwest Fwy Suite # B, Houston, TX 77074",(713) 829-9974
