id,name,cuisine,address,phone
ewatomi-houston,Ewatomi,West African,"15000 Bellaire Blvd ste q, Houston, TX 77083",(346) 433-9338
flavors-nigerian-restaurant-orlando,Flavors Nigerian Restaurant,Nigerian,"3530 S Orange Ave, Orlando, FL 32806",(407) 930-0988
fufudelight-suya-kitchen-arlington,Fufudelight& Suya Kitchen,West African,"6401 New York Ave # 149, Arlington, TX 76018",(817) 896-3372
glam-divine-treats-houston,Glam Divine Treats,West African,"6788 Synott Rd, Houston, TX 77083",(346) 335-7116
golden-hands-cameroonian-food-los-angeles,Golden hands Cameroonian food,African,"6426 2nd Ave, Los Angeles, CA 90043",(562) 338-4666
chi-002,Gorée Cuisine,Senegalese,"1126 E 47th St, Chicago, IL 60653",(773) 855-8120
grill-master-african-restaurant-houston,Grill master African Restaurant,African,"9755 S Kirkwood Rd D, Houston, TX 77099",(346) 491-5054
guinea-conakry-austin,Guinea Conakry,African,"318 E 5th St., Austin, TX 78701",
habesha-ethiopian-and-eritrean-restaurant-cleveland,Habesha Ethiopian and Eritrean Restaurant,Ethiopian,"16860 Lorain Ave, Cleveland, OH 44111",(216) 400-6539
hadys-restaurant-international-cuisine-raleigh,Hady's Restaurant | International Cuisine,African,"717 E Martin St Suite 199, Raleigh, NC 27601",(919) 741-1111
harar-ethiopian-restaurant-houston,Harar Ethiopian Restaurant,Ethiopian,"5506 Bellaire Blvd ste c, Houston, TX 77081",(713) 485-0378
hou-008,Helen's Kitchen,Jamaican,"14608 S Post Oak Rd, Houston, TX 77045",(713) 413-9022
hunan-cafe-houston,Hunan Cafe,West African,"3645 Cypress Creek Pkwy #368, Houston, TX 77068",(281) 891-3383
international-delicious-kitchen-columbus,International Delicious Kitchen .,African,"5763 Karl Rd, Columbus, OH 43229",(614) 396-7795
hou-fine-001,Island Spice Bar & Grill,Caribbean Fusion,"17802 W Little York Rd, Houston, TX 77084",(281) 859-1499
island-style-east-cleveland,Island Style,Jamaican,"2144 Noble Rd, East Cleveland, OH 44112",(216) 851-4500
sea-fine-002,Jerk Shack,Modern Caribbean,"1133 24th Ave Ste N, Seattle, WA 98122",(206) 898-4085
jollofinnola-slidell,Jollofinnola,African,"5341 Bypass Breeze Dr, Slidell, LA 70461",(573) 810-1782
karyi-kitchens-new-orleans,Karyi Kitchens,African,"201 St Charles Ave ste 213, New Orleans, LA 70170",(504) 699-6339
k-y-d-restaurant-mirage-brooklyn,Káyọ̀dé Restaurant Mirage,African,"563 E 26th St, Brooklyn, NY 11210",(347) 240-2710
kenna-houston,Kenna,Ethiopian,"6121 Hillcroft Ave c1, Houston, TX 77081",(346) 319-5845
kente-caf-salt-lake-city,Kente Café,African,"751 W 800 S, Salt Lake City, UT 84104",(385) 237-4642
oak-lala-eritrean,Lala's Eritrean,Eritrean,"4069 Telegraph Ave, Oakland, CA 94609",(510) 547-4520
le-bon-go-t-chez-fa-las-vegas,Le Bon Goût Chez Fa,West African,"3920 W Charleston Blvd # A, Las Vegas, NV 89102",(702) 722-2524
lucy-houston,Lucy,Ethiopian,"6800 Southwest Fwy, Houston, TX 77074",+1 713-334-0000
mama-j-nigerian-restaurant-marietta,Mama J Nigerian Restaurant,Nigerian,"1482 Roswell Rd, Marietta, GA 30062",(404) 587-4419
mega-suya-bar-grill-indianapolis,Mega Suya Bar & Grill,African,"3081 N High School Rd, Indianapolis, IN 46224",(317) 672-6186
mimi-s-nook-nigerian-cuisine-livonia,Mimi’s Nook Nigerian Cuisine,Nigerian,"19586 Middlebelt Rd, Livonia, MI 48152",(248) 516-3187
mogadishu-restaurant-chicago,Mogadishu Restaurant,East African,"931 N Orleans St, Chicago, IL 60610",(312) 265-1850
momos-kebab-moroccan-cleveland-heights,MoMo's Kebab | Moroccan,African,"2199 Lee Rd, Cleveland Heights, OH 44118",(216) 932-3512
nathmary-kitchen-avon,NathMary Kitchen,African,"291 Shiloh Crossing Dr, Avon, IN 46123",(317) 440-3393
nazareth-cafe-houston,Nazareth Cafe,Ethiopian,"6617 Chimney Rock Rd, Houston, TX 77081",(713) 218-9883
nicos-lounge-restaurant-and-bar-nashville,Nico's Lounge Restaurant and Bar,African,"4750 Nolensville Pk, Nashville, TN 37211",(615) 835-2966
